Sample	Gene_burden	TRUE	FALSE
ICGC-18eb4dfc-556f-4bf3-a411-4780209ed1e0	0.25	0	3
ICGC-c364e81c-eb1e-4870-ab37-9c661f5f2e3d	0.056338	3	70
PD7217a	0.222222	3	17
PD4966a	0.5	0	1
PD7433a	0.2	0	4
PD6721a	0.166667	0	5
ICGC-96457ebf-ae88-41f4-97e5-cdc3163418aa	0.142857	0	6
PD4006a	0.166667	1	11
PD4951a	0.272727	2	10
ICGC-733a2a0f-b37a-4b81-b49e-3c0f30d1eb37	0.166667	1	11
PD6411a	0.0625	0	15
ICGC-1f601832-eee3-48fb-acf5-80c4a454f26e	0.333333	0	2
ICGC-6956473b-92e5-4069-a26b-b48e280e76f2	0.2	0	4
PD4267a	0.142857	0	6
PD4115a	0.0714286	0	13
ICGC-5fd9552a-c742-4388-940d-295d1107ae00	0.142857	0	6
PD3989a	0.2	0	4
PD4613a	0.2	0	4
ICGC-5580b21a-2cdb-4777-ad79-6e06654144f5	0.666667	1	2
PD7219a	0.28	6	24
PD4981a	0.111111	0	8
ICGC-17c1d42c-cb84-4655-a4cd-b54bae17ecaf	0.25	1	7
PD4968a	0.142857	0	6
PD5947a	0.5	0	1
PD4953a	0.142857	1	13
PD4224a	0.142857	1	13
PD6413a	0.142857	0	6
ICGC-49717f75-0f2d-4e1c-9a12-f1cd7877b80a	0.1875	2	15
ICGC-a482fc4c-ff1d-46a0-a968-7df06422cc4b	0.142857	1	13
ICGC-b5b99291-507e-4b68-a039-9a0f571f55df	0.2	0	4
PD4983a	0.333333	1	5
ICGC-4e6edfe6-adcb-4c12-8ff4-38a79f5887e8	0.222222	1	8
ICGC-b97bf89a-7a85-4eef-ae7e-f787aead1f0a	0.315789	5	18
ICGC-27b05b15-a44b-45ed-a6e3-e7d1ca488ea9	0.333333	2	8
PD7409a	0.1875	2	15
PD4955a	0.125	1	15
ICGC-f51af6db-2655-47fb-9ffc-83a503a728ea	0.2	0	4
PD5934a	0.4	5	14
ICGC-174850b4-5ec2-462b-a890-89bd1716b3c2	0.208333	4	23
ICGC-566792ae-f853-4a47-856d-f02cdcfcb18a	0.117647	1	16
ICGC-f05d314c-5ec5-4e2a-b785-9a702716f111	0.2	0	4
ICGC-7861a5f2-8910-4bcb-9c34-f79c5acd6e21	0.230769	2	12
PD3905a	0.142857	0	6
PD4985a	0.333333	1	5
PD4833a	0.111111	1	17
PD7221a	0.142857	0	6
PD7208a	0.2	0	4
ICGC-5d8ed961-a012-4b6b-bffb-9468d3953646	0.150538	13	92
PD4970a	0.125	0	7
PD4957a	0.222222	1	8
ICGC-3fc3755d-a3f8-4e2c-813f-ff124f2a75c1	0.333333	1	5
PD5936a	0.4	1	4
PD6417a	0.2	0	4
ICGC-ef4cbd38-bc79-4d60-a715-647edd2ebe9e	0.157895	5	37
ICGC-0dca98b0-f43e-45b6-9a02-00092c78678c	0.3	5	19
ICGC-359f12f9-5c41-48a4-85bc-fd7e307bf7d8	0.25	1	7
ICGC-9938ce5c-e74e-446e-a932-f096f85cc3b1	0.181818	1	10
PD6041a	0.5	0	1
ICGC-88db1340-e4bf-451a-87c0-6e9168296f5e	0.131579	4	37
ICGC-1174f6e4-ffbe-4e59-a000-8d861c968369	0.25	0	3
ICGC-993103b1-e5a1-4c33-8629-be53ebc41d64	0.0566038	2	52
PD4192a	0.75	2	3
PD4604a	0.333333	2	8
PD4959a	0.2	0	4
ICGC-1549dc64-3dab-43fc-96e9-b07d520957e1	0.5	3	7
PD5951a	0.1	0	9
PD4085a	0.333333	0	2
ICGC-eadf8482-e60e-4307-adb7-d5c3b9fa6cae	0.173913	3	22
PD6043a	0.0681818	2	43
ICGC-2779fa01-ac93-4e80-a997-3385f72172c3	0.166667	0	5
ICGC-1b703058-e596-45bc-80fe-8b98d545c2e2	0.2	0	4
ICGC-0a2a3529-f645-4967-9a58-89ee20b8bb62	0.4	1	4
