Gene	Cancer_Gene	GO_cell.death	GO_cell.differentiation	GO_cell.proliferation	GO_mitototic.cell.cycle	HumanNet.CGS_L1	HumanNet.CGS_L2	InteractNet.CGS_L1	InteractNet.CGS_L2	ReguleNet.DEG_score	DEG_score
A1BG	0	0	0	0	0	0	0	0	50	0.102	0.102
A1CF	0	0	0	0	0	0	22	1	28	0.335	0.335
A2LD1	0	0	0	0	0	0	0	0	0	0.835	0.835
A2M	0	0	1	0	0	0	0	4	162	0	0
A4GALT	0	0	0	0	0	0	1	0	0	0.828	0.828
A4GNT	0	0	0	1	0	2	54	0	0	0.133	0.133
AAAS	0	0	0	0	1	0	0	1	10	0.882	0.882
AACS	0	0	1	0	0	0	0	0	1	0.828	0.828
AAGAB	0	0	0	0	0	0	0	0	6	0.918	0.918
AAK1	0	0	0	0	0	0	0	0	1	0.671	0.671
AAMDC	0	1	1	0	0	0	0	0	1	0	0
AAMP	0	0	1	0	0	0	0	0	27	0.878	0.878
AANAT	0	0	0	0	0	0	16	0	30	0.581	0.581
AARS	0	1	0	0	0	0	0	0	0	0.906	0.906
AARS2	0	0	0	0	0	0	0	0	27	0.862	0.862
AASDHPPT	0	0	0	0	0	0	0	0	37	0.893	0.893
AASS	0	0	0	0	0	1	86	1	48	0.46	0.46
AATF	0	1	0	0	1	8	195	2	106	0.91	0.91
AATK	0	1	1	0	0	0	0	0	2	0.938	0.938
ABAT	0	0	0	0	0	0	0	0	27	0.42	0.42
ABCA1	0	0	1	0	0	2	70	4	197	0.426	0.426
ABCA2	0	0	0	0	0	14	177	0	4	0.071	0.071
ABCA3	0	0	0	0	0	3	101	0	0	0.937	0.937
ABCA4	0	0	0	0	0	2	145	0	0	0.78	0.78
ABCA5	0	0	1	0	0	0	0	0	14	0.152	0.152
ABCA8	0	0	0	0	0	2	70	0	0	0	0
ABCB1	0	0	0	1	1	3	101	0	23	0.895	0.895
ABCB11	0	0	0	0	0	2	70	0	13	0.562	0.562
ABCB4	0	0	0	0	0	4	166	0	0	0.656	0.656
ABCB6	0	0	0	0	0	2	70	0	14	0.892	0.892
ABCB7	0	0	0	0	0	2	70	0	2	0.684	0.684
ABCB8	0	0	0	0	0	2	70	0	2	0.587	0.587
ABCB9	0	0	0	0	0	1	118	0	0	0.897	0.897
ABCC1	0	0	0	0	0	3	101	1	23	0.852	0.852
ABCC10	0	0	0	0	0	0	0	0	2	0.848	0.848
ABCC12	0	0	0	0	0	0	0	0	1	0.492	0.492
ABCC13	0	0	0	0	0	0	0	0	13	0.931	0.931
ABCC2	0	0	0	0	0	2	70	0	41	0.708	0.708
ABCC3	0	0	0	0	0	2	70	0	0	0.851	0.851
ABCC4	0	0	0	0	0	0	0	0	1	0.633	0.633
ABCC5	0	0	0	0	0	2	70	0	2	0.848	0.848
ABCC6	0	0	0	0	0	3	101	0	13	0	0
ABCC8	0	0	0	0	0	1	14	0	0	0.473	0.473
ABCC9	0	0	0	0	0	1	14	0	5	0.92	0.92
ABCD1	0	0	0	0	0	0	0	1	17	0.398	0.398
ABCD2	0	0	0	0	0	2	71	0	2	0.664	0.664
ABCD3	0	0	0	0	0	0	19	0	15	0.734	0.734
ABCD4	0	0	0	0	0	2	70	0	21	0.774	0.774
ABCE1	0	0	0	0	0	0	135	0	149	0.926	0.926
