Target_Cancer_Gene	Target_GO_cell.death	Target_GO_cell.differentiation	Target_GO_cell.proliferation	Target_GO_mitototic.cell.cycle	Target_HumanNet.CGS_L1	Target_HumanNet.CGS_L2	Target_InteractNet.CGS_L1	Target_InteractNet.CGS_L2	Target_ReguleNet.DEG_score	Target_DEG_score	TF_Cancer_Gene	TF_GO_cell.death	TF_GO_cell.differentiation	TF_GO_cell.proliferation	TF_GO_mitototic.cell.cycle	TF_HumanNet.CGS_L1	TF_HumanNet.CGS_L2	TF_InteractNet.CGS_L1	TF_InteractNet.CGS_L2	TF_ReguleNet.DEG_score	TF_DEG_score	diff_Pval	avg_Pval	TF_sign	Dnase	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me2	H3K4me3	H3K79me2	H3K9ac	H3K9me3	H4K20me1	Dist_GWAS_2D	Early.to.late_Rate	PhastCons	0
0	0	1	0	0	0	0	0	21	0.916	0.916	0	0	0	0	0	0	0	0	0	0	0	5.62525	2.81263	1	0	0	0	12.37471503	0	0	0	0	0	0	0	3994807	42.5	0	0
0	1	0	0	0	13	185	0	6	0.831	0.831	0	0	0	0	0	0	0	0	0	0	0	5.35458	2.67729	1	0	12.9348695	0	13.16210526	12.79410526	13.238493	40.60437687	28.20287671	17.466273	0	10.17419355	3723837	43.5	0	0
0	0	1	1	0	1	132	2	89	0.421	0.421	0	0	1	0	0	27	210	1	218	20.068	0.675	5.82102	2.91051	1	68	13.1020155	0	20.30253521	34.6397136	11.259502	9.70593875	0	11.562419	0	0	2320472	18.6	0	0
0	0	1	1	0	1	132	2	89	0.421	0.421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.1020155	0	0	20.92993464	0	0	0	10.71289975	0	0	2264943	31.6667	0.059	0
0	0	1	1	0	1	57	0	116	0.679	0.679	0	0	0	0	0	0	0	0	12	17.202	0.311	5.19654	2.59827	-1	0	0	0	0	0	0	0	0	0	0	0	1876796	28	0	0
0	0	1	1	0	1	57	0	116	0.679	0.679	0	0	0	0	0	0	0	0	0	0	0	5.89963	2.94982	1	0	0	0	0	0	0	0	0	0	0	0	1814550	26.3333	0	0
0	0	0	0	0	0	0	0	57	0.706	0.706	0	0	0	0	0	0	0	0	16	4667.55	0.68	5.43297	2.71649	-1	20	0	0	0	10.62051282	0	0	0	0	0	0	155553	15.3333	0.001	0
0	0	0	0	0	0	0	0	18	0.154	0.154	0	0	0	0	0	0	0	0	4	53.895	0.813	5.2233	2.61165	-1	0	13.7332865	0	0	13.124	11.5607408	39.63553325	0	10.791158	0	0	992083	27.6667	0.008	0
0	0	0	0	0	0	0	0	29	0.879	0.879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.667454	0	11.48	15.9792	7.437923	27.6696918	18.74632124	12.231921	0	0	220187	30.3333	0.001	0
0	0	0	0	0	0	0	1	61	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	5.68825	2.84413	-1	108	13.961406	0	0	0	9.7941165	26.383585	0	16.269182	0	16.56285714	881582	76	0.278	0
0	0	0	0	0	0	0	0	0	0.295	0.295	0	0	0	0	0	0	0	0	16	217.008	0.825	0	6.19e-06	0	300	13.60883892	0	0	0	13.57839	25.31550614	0	11.817536	0	0	499684	34.5	0	0
0	0	0	0	0	0	0	3	55	0.94	0.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.095586	0	19.12073043	13.00567164	9.427371	71.37618067	23.06116041	24.764241	0	0	205239	18	0.005	0
0	0	1	0	0	0	0	0	16	0.698	0.698	0	0	0	0	0	0	0	0	21	4941.5	0.809	5.23062	2.61531	1	0	0	0	0	0	0	0	0	0	0	0	557587	29.3333	0	0
0	0	0	0	0	4	128	0	15	0.789	0.789	0	1	1	1	0	26	212	10	259	5149.23	0.908	5.39469	2.69734	-1	0	0	0	0	0	0	0	0	0	0	0	1404743	33.5	0.005	0
0	1	1	0	0	3	147	0	23	0.735	0.735	0	1	1	1	0	5	101	13	246	4992.51	0.755	5.19997	2.59999	1	0	25.693313	0	10.30493506	35.31900415	10.4974308	33.54673579	29.21222222	11.70783075	0	0	1476205	40	0	0
0	0	0	0	0	0	0	0	75	0.881	0.881	0	0	0	0	0	0	0	0	0	3736.32	0.598	5.27003	2.63502	-1	0	0	0	0	10.38534653	3.353121	0	0	0	0	0	2113374	31.5	0	0
0	0	0	0	0	0	0	0	34	0.89	0.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.29989	0	0	18.14390093	9.4870845	36.69538209	12.77035088	10.812743	0	0	2248338	38.5	0.001	0
0	1	1	0	0	2	142	1	43	0.808	0.808	0	0	0	0	0	0	0	0	26	1216.29	0.307	5.28567	2.64283	-1	0	0	0	0	10.92818182	0	0	0	0	0	0	2563732	18.4	0.001	0
0	0	0	0	0	0	0	0	1	0.694	0.694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.484895	0	0	12.06961538	8.7981655	31.4219985	0	17.911029	0	0	903319	26	0	0
0	0	0	1	1	49	238	1	60	0.72	0.72	0	0	0	0	0	1	75	1	41	1820.25	0.629	5.62342	2.81171	-1	0	34.761397	0	30.35375681	30.74022901	16.466647	36.41825519	43.52027165	23.273021	0	21.08189474	407790	46.5	0	0
0	0	1	1	0	5	155	1	40	0.413	0.413	0	0	0	0	0	0	0	0	16	20.231	0.894	5.32883	2.66441	-1	0	17.6807915	0	10.62	25.18692521	11.4412265	9.025486333	0	10.18263	0	0	588641	6.22222	0	0
0	0	1	1	0	5	155	1	40	0.413	0.413	0	0	1	0	1	2	93	7	142	5083.78	0.851	5.24489	2.62244	-1	0	0	11.27262136	0	0	0	0	0	0	0	0	56154	0.25	0	0
0	0	0	0	0	0	0	0	2	0.036	0.036	0	0	0	0	0	0	0	0	0	0	0	5.59007	2.79503	-1	280	16.930725	0	0	0	12.1732145	64.9737595	0	21.780066	0	0	1818031	46	0	0
0	1	1	1	1	8	200	58	371	0.938	0.938	0	0	0	0	0	0	0	0	24	1341.93	0.919	5.91364	2.95682	1	0	0	0	0	0	0	0	0	0	0	0	1631108	47	0	0
0	0	0	0	0	0	0	2	63	0.816	0.816	0	0	1	0	0	27	210	1	218	20.068	0.675	0.9945	6.30135	1	0	0	11.5332129	0	0	0	0	0	0	0	0	534206	0.0535714	0.001	0
0	1	0	0	1	0	0	3	86	0.927	0.927	0	0	0	0	0	0	0	0	15	203.674	0.701	6.20971	3.10486	-1	0	11.274826	0	13.02033898	13.56607595	10.345589	38.06903925	25.52648069	16.755524	0	0	48403	16.3333	0.001	0
1	0	1	0	0	4	148	4	187	0.935	0.935	0	0	0	0	0	0	0	0	0	0	0	0	3.99e-06	0	39	0	17.09841837	0	0	3.47782	0	0	0	0	0	1080558	8.33333	0	0
0	0	1	0	0	0	0	2	88	0.892	0.892	0	1	1	1	0	19	200	4	108	4506.12	0.516	5.70997	2.85499	-1	0	8.469207579	0	11.53931034	27.14207681	10.13638217	6.852031778	29.37847039	6.556789	0	0	1462132	14	0.111	0
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	19.19	0.816	0.60769	5.33442	-1	12	0	0	14.60497674	0	0	0	0	0	0	0	6507118	30.5	0.328	0
0	0	0	0	0	0	0	1	53	0.286	0.286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.4559865	0	0	16.04944444	10.479135	47.137741	16.57971429	15.289425	0	0	7254178	15.4	0.002	0
