Target_Cancer_Gene	Target_GO_cell.death	Target_GO_cell.differentiation	Target_GO_cell.proliferation	Target_GO_mitototic.cell.cycle	Target_HumanNet.CGS_L1	Target_HumanNet.CGS_L2	Target_InteractNet.CGS_L1	Target_InteractNet.CGS_L2	Target_ReguleNet.DEG_score	Target_DEG_score	TF_Cancer_Gene	TF_GO_cell.death	TF_GO_cell.differentiation	TF_GO_cell.proliferation	TF_GO_mitototic.cell.cycle	TF_HumanNet.CGS_L1	TF_HumanNet.CGS_L2	TF_InteractNet.CGS_L1	TF_InteractNet.CGS_L2	TF_ReguleNet.DEG_score	TF_DEG_score	diff_Pval	avg_Pval	TF_sign	Dnase	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me2	H3K4me3	H3K79me2	H3K9ac	H3K9me3	H4K20me1	Dist_GWAS_2D	Early.to.late_Rate	PhastCons	TorF
0	0	1	0	0	0	0	0	0	0.781	0.781	0	0	0	0	0	0	0	0	0	0	0	0	0.000377	0	29	11.44	0.42	12.34	10.88	8.6	3.68	1.6	5.92	2	5.44	1293612	34	0.005	1
0	0	0	1	0	0	0	2	149	0.66	0.66	0	0	0	1	0	22	211	0	58	4117.54	0.829	0	0.00081	0	6.33333	37.1	3.44	6.32	25.38	47.44	17.27	3	45.64	4	0	937572	1.16216	1	1
0	0	1	0	0	11	197	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52639	3.41E-05	-1	1	8.36	8.12	0	7.62	22.98	14.56	0	12.24	3	0.88	1567495	42.5	0.013	1
0	0	0	0	0	0	0	0	1	0.876	0.876	1	1	1	1	0	1	1	7	112	4118.33	0.787	0	1.32e-05	0	7	45.3	0	0	0	0.42	20.29	1.72	14.76	0	0	6624240	30	0	1
0	0	0	0	1	15	209	2	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33333	2.44	1.18	3.36	12.1	10.08	3.91	1.84	1.68	2	1	3304189	30.3333	0.985	1
0	1	0	0	1	0	0	3	212	0.935	0.935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	56.86	2.3	1.82	5.26	51.26	76.02	0	61.64	1	11.88	554422	21	1	1
0	0	1	0	0	0	77	0	0	0.652	0.652	0	0	0	0	0	0	0	0	8	4118.18	0.639	0	4.23e-06	0	26.3333	12.38	0.66	1.26	2.6	56.96	92.38	1	42.88	1.36	2.72	3718528	6.8	0.004	1
0	0	0	0	0	0	0	1	50	0.539	0.539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	23.88	1	1	0	2.14	7.82	0.5	8.32	0	0	831533	25.6667	0	1
0	0	1	1	0	0	0	0	17	0.873	0.873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.66667	18	2.08	10.5	36.64	51.9	21.65	20.96	31.52	4.52	20.76	3431267	46.5	0	1
0	0	1	0	0	3	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000452	0	52	11.22	3.7	7.8	31.52	59.4	28.45	3.44	19.04	5.04	5	58901	28.6667	1	1
