Gene	Cancer_Gene	GO_cell.death	GO_cell.differentiation	GO_cell.proliferation	GO_mitototic.cell.cycle	HumanNet.CGS_L1	HumanNet.CGS_L2	InteractNet.CGS_L1	InteractNet.CGS_L2	ReguleNet.DEG_score	DEG_score
A1BG	0	0	0	0	0	0	0	0	50	0.913	0.913
A1CF	0	0	0	0	0	0	22	1	28	0.462	0.462
A2LD1	0	0	0	0	0	0	0	0	0	0.132	0.132
A2M	0	0	1	0	0	0	0	4	162	0	0
A4GALT	0	0	0	0	0	0	1	0	0	0	0
A4GNT	0	0	0	1	0	2	54	0	0	0.862	0.862
AAAS	0	0	0	0	1	0	0	1	10	0.683	0.683
AACS	0	0	1	0	0	0	0	0	1	0.455	0.455
AAGAB	0	0	0	0	0	0	0	0	6	0.915	0.915
AAK1	0	0	0	0	0	0	0	0	1	0.66	0.66
AAMDC	0	1	1	0	0	0	0	0	1	0	0
AAMP	0	0	1	0	0	0	0	0	27	0.846	0.846
AANAT	0	0	0	0	0	0	16	0	30	0.269	0.269
AARS	0	1	0	0	0	0	0	0	0	0.802	0.802
AARS2	0	0	0	0	0	0	0	0	27	0.525	0.525
AASDHPPT	0	0	0	0	0	0	0	0	37	0.707	0.707
AASS	0	0	0	0	0	1	86	1	48	0	0
AATF	0	1	0	0	1	8	195	2	106	0.894	0.894
AATK	0	1	1	0	0	0	0	0	2	0.047	0.047
ABAT	0	0	0	0	0	0	0	0	27	0.866	0.866
ABCA1	0	0	1	0	0	2	70	4	197	0.924	0.924
ABCA2	0	0	0	0	0	14	177	0	4	0.314	0.314
ABCA3	0	0	0	0	0	3	101	0	0	0.871	0.871
ABCA4	0	0	0	0	0	2	145	0	0	0.264	0.264
ABCA5	0	0	1	0	0	0	0	0	14	0	0
ABCA8	0	0	0	0	0	2	70	0	0	0	0
ABCB1	0	0	0	1	1	3	101	0	23	0	0
ABCB11	0	0	0	0	0	2	70	0	13	0.808	0.808
ABCB4	0	0	0	0	0	4	166	0	0	0.505	0.505
ABCB6	0	0	0	0	0	2	70	0	14	0.407	0.407
ABCB7	0	0	0	0	0	2	70	0	2	0.823	0.823
ABCB8	0	0	0	0	0	2	70	0	2	0	0
ABCB9	0	0	0	0	0	1	118	0	0	0.902	0.902
ABCC1	0	0	0	0	0	3	101	1	23	0.781	0.781
ABCC10	0	0	0	0	0	0	0	0	2	0.779	0.779
